title,link,snippet
Content-Based Citation Recommendation,https://aclanthology.org/N18-1022,"We present a content-based method for recommending citations in an academic paper draft. We embed a given query document into a vector space, then use its ..."
A Corpus of Clinical Practice Guidelines Annotated with the ...,https://aclanthology.org/L16-1272,"In this paper we present the Corpus of REcommendation STrength (CREST), a collection of HTML-formatted clinical guidelines annotated with the location of ..."
MIND: A Large-scale Dataset for News Recommendation,https://aclanthology.org/2020.acl-main.331,"In this paper, we present a large-scale dataset named MIND for news recommendation. Constructed from the user click logs of Microsoft News, MIND contains 1 ..."
Improving Conversational Recommendation Systems ...,https://aclanthology.org/2022.findings-naacl.4,"The proposed item encoder learns to map item metadata to embeddings reflecting the rich information of the item, which can be matched with dialog context. The ..."
Tree-Structure Reasoning Schema for Conversational ...,https://aclanthology.org/2023.acl-long.167,TREA: Tree-Structure Reasoning Schema for Conversational Recommendation. In Proceedings of the 61st Annual Meeting of the Association for Computational ...
Evaluating Zero-Shot Event Structures: Recommendations ...,https://aclanthology.org/2023.acl-short.142,Cite (ACL):: Erica Cai and Brendan O'Connor. 2023. Evaluating Zero-Shot Event Structures: Recommendations for Automatic Content Extraction (ACE) Annotations. In ...
Toward Knowledge-Enriched Conversational ...,https://aclanthology.org/2022.nlp4convai-1.17,Conversational Recommendation Systems recommend items through language based interactions with users. In order to generate naturalistic conversations and ...
Explainable Recommendation with Personalized Review ...,https://aclanthology.org/2023.acl-long.4,"Explainable recommendation is a technique that combines prediction and generation tasks to produce more persuasive results. Among these tasks, textual ..."
Personalized Transformer for Explainable Recommendation,https://aclanthology.org/2021.acl-long.383,"Personalization of natural language generation plays a vital role in a large spectrum of tasks, such as explainable recommendation, review summarization and ..."
Rethinking the Evaluation for Conversational ...,https://aclanthology.org/2023.emnlp-main.621,"Cite (ACL):: Xiaolei Wang, Xinyu Tang, Xin Zhao, Jingyuan Wang, and Ji-Rong Wen. 2023. Rethinking the Evaluation for Conversational Recommendation in the ..."
