title,link,snippet
Recommendations for Datasets for Source Code ...,https://aclanthology.org/N19-1394,"In this paper, we make recommendations for these standards from experimental results. We release a dataset based on prior work of over 2.1m pairs of Java ..."
Aligning Recommendation and Conversation via Dual ...,https://aclanthology.org/2022.emnlp-main.36,Abstract. Human conversations of recommendation naturally involve the shift of interests which can align the recommendation actions and conversation process ...
Neural News Recommendation with Multi-Head Self- ...,https://aclanthology.org/D19-1671,"In this paper, we propose a neural news recommendation approach with multi-head self-attention (NRMS). The core of our approach is a news encoder and a user ..."
Assessing Objective Recommendation Quality through ...,https://aclanthology.org/D17-1250,"Abstract. Recommendations are often rated for their subjective quality, but few researchers have studied comment quality in terms of objective utility."
Deep Learning-based Online Alternative Product ...,https://aclanthology.org/2020.ecnlp-1.3,"In this paper, we use both textual product information (e.g. product titles and descriptions) and customer behavior data to recommend alternative products. Our ..."
Justifying Recommendations using Distantly-Labeled ...,https://aclanthology.org/D19-1018,"In terms of data, we first propose an 'extractive' approach to identify review segments which justify users' intentions; this approach is then used to distantly ..."
A Large-Scale Conversational Recommendation Dataset ...,https://aclanthology.org/2022.lrec-1.622,"Compared to the traditional recommendation, it advocates wealthier interactions and provides possibilities to obtain users' exact preferences explicitly."
Authorship Identification for Literary Book Recommendations,https://aclanthology.org/C18-1033,"We propose a system that recommends books after learning their authors' style. To our knowledge, this is the first work that applies the information learned by ..."
Neural News Recommendation with Long- and Short-term ...,https://aclanthology.org/P19-1033,Personalized news recommendation is important to help users find their interested news and improve reading experience. A key problem in news recommendation is ...
Identifying Evidence for Explainable Recommendations,https://aclanthology.org/2020.aacl-main.89,"To tackle the challenge, this paper proposes a novel and practical task to explain evidences in recommending hotels given vague requests expressed freely in ..."
Content-Based Citation Recommendation,https://aclanthology.org/N18-1022,"We present a content-based method for recommending citations in an academic paper draft. We embed a given query document into a vector space, then use its ..."
A Corpus of Clinical Practice Guidelines Annotated with the ...,https://aclanthology.org/L16-1272,"In this paper we present the Corpus of REcommendation STrength (CREST), a collection of HTML-formatted clinical guidelines annotated with the location of ..."
MIND: A Large-scale Dataset for News Recommendation,https://aclanthology.org/2020.acl-main.331,"In this paper, we present a large-scale dataset named MIND for news recommendation. Constructed from the user click logs of Microsoft News, MIND contains 1 ..."
Improving Conversational Recommendation Systems ...,https://aclanthology.org/2022.findings-naacl.4,"The proposed item encoder learns to map item metadata to embeddings reflecting the rich information of the item, which can be matched with dialog context. The ..."
Tree-Structure Reasoning Schema for Conversational ...,https://aclanthology.org/2023.acl-long.167,TREA: Tree-Structure Reasoning Schema for Conversational Recommendation. In Proceedings of the 61st Annual Meeting of the Association for Computational ...
Evaluating Zero-Shot Event Structures: Recommendations ...,https://aclanthology.org/2023.acl-short.142,Cite (ACL):: Erica Cai and Brendan O'Connor. 2023. Evaluating Zero-Shot Event Structures: Recommendations for Automatic Content Extraction (ACE) Annotations. In ...
Toward Knowledge-Enriched Conversational ...,https://aclanthology.org/2022.nlp4convai-1.17,Conversational Recommendation Systems recommend items through language based interactions with users. In order to generate naturalistic conversations and ...
Explainable Recommendation with Personalized Review ...,https://aclanthology.org/2023.acl-long.4,"Explainable recommendation is a technique that combines prediction and generation tasks to produce more persuasive results. Among these tasks, textual ..."
Personalized Transformer for Explainable Recommendation,https://aclanthology.org/2021.acl-long.383,"Personalization of natural language generation plays a vital role in a large spectrum of tasks, such as explainable recommendation, review summarization and ..."
Rethinking the Evaluation for Conversational ...,https://aclanthology.org/2023.emnlp-main.621,"Cite (ACL):: Xiaolei Wang, Xinyu Tang, Xin Zhao, Jingyuan Wang, and Ji-Rong Wen. 2023. Rethinking the Evaluation for Conversational Recommendation in the ..."
