title,link,snippet
A Machine Learning Approach to Metaphor Interpretation ...,https://aclanthology.org/W18-0912,Abstract. The current study seeks to implement a deep learning classification algorithm using argument-structure level representation of metaphoric ...
Machine Learning Approach to Evaluate MultiLingual ...,https://aclanthology.org/W17-1007,This method relies on machine learning approach which operates by combining multiple features to build models that predict the human score (overall ...
Machine Learning for Ancient Languages: A Survey,https://aclanthology.org/2023.cl-3.5.pdf,"This article aims to provide a comprehensive survey of published research using machine learning for the study of ancient texts written in any language, script, ..."
Unleashing the Power of Large Language Models in ...,https://aclanthology.org/2024.eacl-long.179,"In this paper, we aim to bridge the gap between machine intelligence and human knowledge by introducing a novel framework MLCopilot, which leverages the state- ..."
Machine Learning Models of Universal Grammar ...,https://aclanthology.org/W17-7805/,Here we present a novel approach in which a machine learning algorithm is used to find dependencies in a table of parameters. The result is a dependency graph ...
"Multimodal Machine Learning: Integrating Language, ...",https://aclanthology.org/P17-5002,Multimodal machine learning is a vibrant multi-disciplinary research field which addresses some of the original goals of artificial intelligence by integrating ...
Goal-Oriented Design for Ethical Machine Learning and NLP,https://aclanthology.org/W17-1611,The argument made in this paper is that to act ethically in machine learning and NLP requires focusing on goals. NLP projects are often classificatory systems ...
Using Machine Learning and Deep Learning Methods to ...,https://aclanthology.org/W19-3216,This document shows the first participation of the SINAI group. We study approaches based on machine learning and deep learning to extract adverse drug reaction ...
Thumbs up? Sentiment Classification using Machine ...,https://aclanthology.org/W02-1011.pdf,"In this paper, we examine the effectiveness of ap- plying machine learning techniques to the sentiment classification problem. A challenging aspect of this."
Could Machine Learning Shed Light on Natural Language ...,https://aclanthology.org/W16-4101,"In this paper, we propose to use a subfield of machine learning –grammatical inference– to measure linguistic complexity from a developmental point of view. We ..."
