title,link,snippet
Unleashing the Power of Large Language Models in ...,https://aclanthology.org/2024.eacl-long.179,"The field of machine learning (ML) has gained widespread adoption, leading to significant demand for adapting ML to specific scenarios, which is yet ..."
Learning to Ask for Conversational Machine Learning,https://aclanthology.org/D19-1426,"We present a reinforcement learning framework, where the learner's actions correspond to question types and the reward for asking a question is based on how the ..."
"Multimodal Machine Learning: Integrating Language, ...",https://aclanthology.org/P17-5002,Multimodal machine learning is a vibrant multi-disciplinary research field which addresses some of the original goals of artificial intelligence by integrating ...
Could Machine Learning Shed Light on Natural Language ...,https://aclanthology.org/W16-4101,The relevance of grammatical inference models for measuring linguistic complexity from a developmental point of view is based on the fact that algorithms ...
A Machine Learning based Music Retrieval and ...,https://aclanthology.org/L16-1312,"In this paper, we present a music retrieval and recommendation system using machine learning techniques. We propose a query by humming system for music ..."
A Machine Learning Approach to Clinical Terms ...,https://aclanthology.org/W16-2901,"José Castaño, María Laura Gambarte, Hee Joon Park, Maria del Pilar Avila Williams, David Pérez, Fernando Campos, Daniel Luna, Sonia Benítez, Hernán Berinsky, ..."
Integration of Deep Learning and Traditional Machine ...,https://aclanthology.org/D19-5724,Our system utilizes fine-tuned language representation models and machine learning approaches based on word embedding and lexical features for entities ...
Machine Learning for Hybrid Machine Translation,https://aclanthology.org/W12-3138,"Sabine Hunsicker, Yu Chen, and Christian Federmann. 2012. Machine Learning for Hybrid Machine Translation. In Proceedings of the Seventh Workshop on Statistical ..."
Reinforcement Learning for Bandit Neural Machine ...,https://aclanthology.org/D17-1153,"Machine translation is a natural candidate problem for reinforcement learning from human feedback: users provide quick, dirty ratings on candidate translations ..."
Machine Learning–Driven Language Assessment,https://aclanthology.org/2020.tacl-1.17,"Our approach is the first to use machine learning and natural language processing to induce proficiency scales based on a given standard, and then use ..."
