title,link,snippet
A Machine Learning Approach to Metaphor Interpretation ...,https://aclanthology.org/W18-0912,Abstract. The current study seeks to implement a deep learning classification algorithm using argument-structure level representation of metaphoric ...
Machine Learning Approach to Evaluate MultiLingual ...,https://aclanthology.org/W17-1007,This method relies on machine learning approach which operates by combining multiple features to build models that predict the human score (overall ...
Machine Learning for Ancient Languages: A Survey,https://aclanthology.org/2023.cl-3.5.pdf,"This article aims to provide a comprehensive survey of published research using machine learning for the study of ancient texts written in any language, script, ..."
Unleashing the Power of Large Language Models in ...,https://aclanthology.org/2024.eacl-long.179,"In this paper, we aim to bridge the gap between machine intelligence and human knowledge by introducing a novel framework MLCopilot, which leverages the state- ..."
Machine Learning Models of Universal Grammar ...,https://aclanthology.org/W17-7805/,Here we present a novel approach in which a machine learning algorithm is used to find dependencies in a table of parameters. The result is a dependency graph ...
"Multimodal Machine Learning: Integrating Language, ...",https://aclanthology.org/P17-5002,Multimodal machine learning is a vibrant multi-disciplinary research field which addresses some of the original goals of artificial intelligence by integrating ...
Goal-Oriented Design for Ethical Machine Learning and NLP,https://aclanthology.org/W17-1611,The argument made in this paper is that to act ethically in machine learning and NLP requires focusing on goals. NLP projects are often classificatory systems ...
Using Machine Learning and Deep Learning Methods to ...,https://aclanthology.org/W19-3216,This document shows the first participation of the SINAI group. We study approaches based on machine learning and deep learning to extract adverse drug reaction ...
Thumbs up? Sentiment Classification using Machine ...,https://aclanthology.org/W02-1011.pdf,"In this paper, we examine the effectiveness of ap- plying machine learning techniques to the sentiment classification problem. A challenging aspect of this."
Could Machine Learning Shed Light on Natural Language ...,https://aclanthology.org/W16-4101,"In this paper, we propose to use a subfield of machine learning –grammatical inference– to measure linguistic complexity from a developmental point of view. We ..."
Unleashing the Power of Large Language Models in ...,https://aclanthology.org/2024.eacl-long.179,"The field of machine learning (ML) has gained widespread adoption, leading to significant demand for adapting ML to specific scenarios, which is yet ..."
Learning to Ask for Conversational Machine Learning,https://aclanthology.org/D19-1426,"We present a reinforcement learning framework, where the learner's actions correspond to question types and the reward for asking a question is based on how the ..."
"Multimodal Machine Learning: Integrating Language, ...",https://aclanthology.org/P17-5002,Multimodal machine learning is a vibrant multi-disciplinary research field which addresses some of the original goals of artificial intelligence by integrating ...
Could Machine Learning Shed Light on Natural Language ...,https://aclanthology.org/W16-4101,The relevance of grammatical inference models for measuring linguistic complexity from a developmental point of view is based on the fact that algorithms ...
A Machine Learning based Music Retrieval and ...,https://aclanthology.org/L16-1312,"In this paper, we present a music retrieval and recommendation system using machine learning techniques. We propose a query by humming system for music ..."
A Machine Learning Approach to Clinical Terms ...,https://aclanthology.org/W16-2901,"José Castaño, María Laura Gambarte, Hee Joon Park, Maria del Pilar Avila Williams, David Pérez, Fernando Campos, Daniel Luna, Sonia Benítez, Hernán Berinsky, ..."
Integration of Deep Learning and Traditional Machine ...,https://aclanthology.org/D19-5724,Our system utilizes fine-tuned language representation models and machine learning approaches based on word embedding and lexical features for entities ...
Machine Learning for Hybrid Machine Translation,https://aclanthology.org/W12-3138,"Sabine Hunsicker, Yu Chen, and Christian Federmann. 2012. Machine Learning for Hybrid Machine Translation. In Proceedings of the Seventh Workshop on Statistical ..."
Reinforcement Learning for Bandit Neural Machine ...,https://aclanthology.org/D17-1153,"Machine translation is a natural candidate problem for reinforcement learning from human feedback: users provide quick, dirty ratings on candidate translations ..."
Machine Learning–Driven Language Assessment,https://aclanthology.org/2020.tacl-1.17,"Our approach is the first to use machine learning and natural language processing to induce proficiency scales based on a given standard, and then use ..."
