title,link,snippet
Interpreting and improving natural-language processing (in ...,https://papers.nips.cc/paper/9633-interpreting-and-improving-natural-language-processing-in-machines-with-natural-language-processing-in-the-brain.pdf,Neural networks models for NLP are typically implemented without the explicit encoding of language rules and yet they are able to break one performance ...
e-SNLI: Natural Language Inference with ...,https://papers.nips.cc/paper/8163-e-snli-natural-language-inference-with-natural-language-explanations,"Authors. Oana-Maria Camburu, Tim Rocktäschel, Thomas Lukasiewicz, Phil Blunsom. Abstract. In order for machine learning to garner widespread public adoption ..."
Convolution Kernels for Natural Language,https://papers.nips.cc/paper/2089-convolution-kernels-for-natural-language.pdf,We describe the application of kernel methods to Natural Language Pro- cessing (NLP) problems. In many NLP tasks the objects being modeled.
What are the best systems? New perspectives on NLP ...,https://papers.nips.cc/paper_files/paper/2022/file/ac4920f4085b5662133dd751493946a6-Paper-Conference.pdf,This paper is about improving current practices regarding benchmarks of NLP systems. ... Fewnlu: Benchmarking state-of-the-art methods for few-shot natural ...
What are the best Systems? New Perspectives on NLP ...,https://papers.nips.cc/paper_files/paper/2022/hash/ac4920f4085b5662133dd751493946a6-Abstract-Conference.html,"This paper proposes a new procedure to rank systems based on their performance across different tasks. Motivated by the social choice theory, the final system ..."
Improving Natural Language Processing Tasks with ...,https://papers.nips.cc/paper_files/paper/2020/hash/460191c72f67e90150a093b4585e7eb4-Abstract.html,"As such, our work introduces a practical approach for bridging between data-driven and cognitive models and demonstrates a new way to integrate human gaze- ..."
An NLP Benchmark Dataset for Assessing Corporate ...,https://papers.nips.cc/paper_files/paper/2023/file/7ccaa4f9a89cce6619093226f26b84e6-Paper-Datasets_and_Benchmarks.pdf,Natural language processing (NLP) can help to alleviate the issue by automating the process of extracting relevant data quickly. As Stammbach et al. [38] ...
Semantically Complex Wordplay Puzzles as a Target for NLP,https://papers.nips.cc/paper/2021/file/5f1d3986fae10ed2994d14ecd89892d7-Paper.pdf,"In this paper we study the language task of solving individual cryptic clues, rather than full puzzles since, unlike American-style crosswords, cryptics ..."
Generating Training Data with Language Models,https://papers.nips.cc/paper_files/paper/2022/hash/0346c148ba1c21c6b4780a961ea141dc-Abstract-Conference.html,"In this paper, we present a simple approach that uses both types of PLMs for fully zero-shot learning of NLU tasks without requiring any task-specific data: A ..."
Revisiting Out-of-distribution Robustness in NLP,http://papers.nips.cc/paper_files/paper/2023/hash/b6b5f50a2001ad1cbccca96e693c4ab4-Abstract-Datasets_and_Benchmarks.html,This paper reexamines the research on out-of-distribution (OOD) robustness in the field of NLP. We find that the distribution shift settings in previous studies ...
