title,link,snippet
Cutting-Edge Natural Language Processing for Social Media,https://aclanthology.org/2022.emnlp-demos.5,no_snipped
NLP Reproducibility For All: Understanding Experiences of ...,https://aclanthology.org/2023.acl-long.568,"As natural language processing (NLP) has recently seen an unprecedented level of excitement, and more people are eager to enter the field, it is unclear whether ..."
Differential Privacy in Natural Language Processing The ...,https://aclanthology.org/2022.privatenlp-1.1,"As the tide of Big Data continues to influence the landscape of Natural Language Processing (NLP), the utilization of modern NLP methods has grounded itself in ..."
Perturbation Augmentation for Fairer NLP,https://aclanthology.org/2022.emnlp-main.646,"Unwanted and often harmful social biases are becoming ever more salient in NLP research, affecting both models and datasets. In this work, we ask whether ..."
The Decades Progress on Code-Switching Research in NLP,https://aclanthology.org/2023.findings-acl.185,"Code-Switching, a common phenomenon in written text and conversation, has been studied over decades by the natural language processing (NLP) research community."
Exploring the Landscape of Natural Language Processing ...,https://aclanthology.org/2023.ranlp-1.111,"As an efficient approach to understand, generate, and process natural language texts, research in natural language processing (NLP) has exhibited a rapid spread ..."
Should We Ban English NLP for a Year?,https://aclanthology.org/2022.emnlp-main.351,"Anders Søgaard. 2022. Should We Ban English NLP for a Year?. In Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages ..."
Towards Efficient NLP: A Standard Evaluation and A ...,https://aclanthology.org/2022.naacl-main.240,"Different from accuracy, the metric for efficiency varies across different studies, making them hard to be fairly compared. To that end, this work presents ELUE ..."
Evaluating the carbon footprint of NLP methods: a survey ...,https://aclanthology.org/2021.sustainlp-1.2,"Due to the significant environmental impact of deep learning, cost-benefit analysis including carbon footprint as well as accuracy measures has been suggested ..."
Defining a New NLP Playground,https://aclanthology.org/2023.findings-emnlp.799,The recent explosion of performance of large language models (LLMs) has changed the field of Natural Language Processing (NLP) more abruptly and seismically ...
