title,link,snippet
Zero- and Few-Shot NLP with Pretrained Language Models,https://aclanthology.org/2022.acl-tutorials.6,"In this tutorial, we aim at bringing interested NLP researchers up to speed about the recent and ongoing techniques for zero- and few-shot learning with ..."
Towards Explainable NLP: A Generative Explanation ...,https://aclanthology.org/P19-1560,"To solve this problem, we propose a novel generative explanation framework that learns to make classification decisions and generate fine-grained explanations ..."
How can NLP Help Revitalize Endangered Languages? A ...,https://aclanthology.org/2022.acl-long.108,"In this work, we focus on discussing how NLP can help revitalize endangered languages. We first suggest three principles that may help NLP practitioners to ..."
What Do NLP Researchers Believe? Results of the ...,https://aclanthology.org/2023.acl-long.903,"We present the results of the NLP Community Metasurvey. Run from May to June 2022, it elicited opinions on controversial issues, including industry influence in ..."
Which NLP Tasks are the most Predictive of fMRI Brain ...,https://aclanthology.org/2022.naacl-main.235,"Encoding models based on task features are used to predict activity in different regions across the whole brain. Features from coreference resolution, NER, and ..."
Challenges and Strategies in Cross-Cultural NLP,https://aclanthology.org/2022.acl-long.482,no_snipped
On Measures of Biases and Harms in NLP,https://aclanthology.org/2022.findings-aacl.24,Recent studies show that Natural Language Processing (NLP) technologies propagate societal biases about demographic groups associated with attributes such as ...
The Hitchhiker's Guide to Testing Statistical Significance in ...,https://aclanthology.org/P18-1128,... Natural Language Processing (NLP) research. We establish the fundamental concepts of significance testing and discuss the specific aspects of NLP tasks ...
What's in a p-value in NLP?,https://aclanthology.org/W14-1601.pdf,"In NLP, we try to improve upon state of the art language technologies, guided by experience and intuition, as well as error analysis from previous experiments, ..."
Benchmarking Intersectional Biases in NLP,https://aclanthology.org/2022.naacl-main.263,"In this work, we benchmark multiple NLP models with regards to their fairness and predictive performance across a variety of NLP tasks. In particular, we assess ..."
Cutting-Edge Natural Language Processing for Social Media,https://aclanthology.org/2022.emnlp-demos.5,no_snipped
NLP Reproducibility For All: Understanding Experiences of ...,https://aclanthology.org/2023.acl-long.568,"As natural language processing (NLP) has recently seen an unprecedented level of excitement, and more people are eager to enter the field, it is unclear whether ..."
Differential Privacy in Natural Language Processing The ...,https://aclanthology.org/2022.privatenlp-1.1,"As the tide of Big Data continues to influence the landscape of Natural Language Processing (NLP), the utilization of modern NLP methods has grounded itself in ..."
Perturbation Augmentation for Fairer NLP,https://aclanthology.org/2022.emnlp-main.646,"Unwanted and often harmful social biases are becoming ever more salient in NLP research, affecting both models and datasets. In this work, we ask whether ..."
The Decades Progress on Code-Switching Research in NLP,https://aclanthology.org/2023.findings-acl.185,"Code-Switching, a common phenomenon in written text and conversation, has been studied over decades by the natural language processing (NLP) research community."
Exploring the Landscape of Natural Language Processing ...,https://aclanthology.org/2023.ranlp-1.111,"As an efficient approach to understand, generate, and process natural language texts, research in natural language processing (NLP) has exhibited a rapid spread ..."
Should We Ban English NLP for a Year?,https://aclanthology.org/2022.emnlp-main.351,"Anders Søgaard. 2022. Should We Ban English NLP for a Year?. In Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing, pages ..."
Towards Efficient NLP: A Standard Evaluation and A ...,https://aclanthology.org/2022.naacl-main.240,"Different from accuracy, the metric for efficiency varies across different studies, making them hard to be fairly compared. To that end, this work presents ELUE ..."
Evaluating the carbon footprint of NLP methods: a survey ...,https://aclanthology.org/2021.sustainlp-1.2,"Due to the significant environmental impact of deep learning, cost-benefit analysis including carbon footprint as well as accuracy measures has been suggested ..."
Defining a New NLP Playground,https://aclanthology.org/2023.findings-emnlp.799,The recent explosion of performance of large language models (LLMs) has changed the field of Natural Language Processing (NLP) more abruptly and seismically ...
