title,link,snippet
Visual Attention Model for Name Tagging in Multimodal ...,https://aclanthology.org/P18-1185.pdf,Deep residual learning for image recog- nition. In Proceedings of the IEEE conference on computer vision and pattern recognition. Sepp Hochreiter and Jürgen ...
Meta-learning For Vision-and-language Cross-lingual ...,https://aclanthology.org/2023.mrl-1.2.pdf,"(2021) proposed UC2, a model using a data augmentation method based on machine translation for cross-lingual cross-modal pre-training. Although ..."
Integrating Language and Vision to Generate Natural ...,https://aclanthology.org/C14-1115.pdf,This paper integrates techniques in natural language processing and computer vision to improve recognition and description of entities and activities in real- ...
Revisiting Visual Grounding,https://aclanthology.org/W19-1804.pdf,Our stud- ies contribute to a more general effort: that of better understanding what machine learning methods that combine language and vision ac- tually learn ...
Towards Multimodal Vision-Language Models Generating ...,https://aclanthology.org/2021.icon-main.27.pdf,Vision-language models combine deep learning techniques from computer vision and natural lan- guage processing to assimilate visual and textual understanding.
Multimodal Learning for Accurate Visual Question Answering,https://aclanthology.org/2023.ranlp-1.20.pdf,"As Computer Vision research moves beyond “buck- eted” identification and toward resolving multi- modal problems, language and visual problems like picture ..."
On Vision Features in Multimodal Machine Translation,https://aclanthology.org/2022.acl-long.438,"We develop a selective attention model to study the patch-level contribution of an image in MMT. On detailed probing tasks, we find that stronger vision models ..."
End-to-End Unsupervised Vision-and-Language Pre- ...,https://aclanthology.org/2022.emnlp-main.742v1.pdf,matter: Elevating the role of image understanding in Visual Question Answering. In Conference on. Computer Vision and Pattern Recognition (CVPR). Zhicheng ...
VIFIDEL: Evaluating the Visual Fidelity of Image Descriptions,https://aclanthology.org/P19-1654.pdf,"ence on Computer Vision (ICCV), pages 873–881,. Venice, Italy. IEEE. Pranava Madhyastha, Josiah Wang, and Lucia Spe- cia. 2018. End-to-end image captioning ..."
Vision Meets Definitions: Unsupervised Visual Word Sense ...,https://aclanthology.org/2023.acl-long.88.pdf,Visual Word Sense Disambiguation (VWSD) is a multimodal task of natural language processing. (NLP) and computer vision that selects the image.
