title,link,snippet
COGNITIVE MODELS FOR COMPUTER VISION,https://aclanthology.org/C82-1002.pdf,A common approach to the problem of scenes interpretation is to gen- erate hypothesis about the position and size of objects and try to.
Midge: Generating Image Descriptions From Computer ...,https://aclanthology.org/E12-1076.pdf,This paper introduces a novel generation system that composes humanlike descrip- tions of images from computer vision de- tections. By leveraging syntactically ...
Comparing computer vision analysis of signed language ...,https://aclanthology.org/L12-1152/,Abstract. We consider a non-intrusive computer-vision method for measuring the motion of a person performing natural signing in video recordings.
What can computer vision teach NLP about efficient neural ...,https://aclanthology.org/2020.sustainlp-1.17,"SqueezeBERT: What can computer vision teach NLP about efficient neural networks? Forrest Iandola, Albert Shaw, Ravi Krishna ..."
Sign Language Recognition and Translation,https://aclanthology.org/2023.ranlp-1.71.pdf,Computer Vision and the nuances of ASL. Classification accuracy in Computer ... Computer Vision alone to classify the signer's en- tire message ...
Using Computer Vision to Analyze Non-manual Marking ...,https://aclanthology.org/2021.mtsummit-at4ssl.6,This paper presents a study that compares non-manual markers of polar and wh-questions to statements in Kazakh-Russian Sign Language (KRSL) in a dataset ...
A Vision-Language Model for Arabic Image Captioning ...,https://aclanthology.org/2023.arabicnlp-1.1.pdf,We alleviate this challenge by introducing a method for automatically acquiring captions that is based on first employing a powerful machine.
Neural Caption Generation for News Images,https://aclanthology.org/L18-1273.pdf,"Much work within computer vision has focused on image annotation, a task which is very much related but distinct from image description gen- eration. The goal ..."
Nonparametric Method for Data-driven Image Captioning,https://aclanthology.org/P14-2097.pdf,We present a nonparametric density esti- mation technique for image caption gener- ation. Data-driven matching methods have.
Visual Attention Model for Name Tagging in Multimodal ...,https://aclanthology.org/P18-1185.pdf,Deep residual learning for image recog- nition. In Proceedings of the IEEE conference on computer vision and pattern recognition. Sepp Hochreiter and Jürgen ...
Meta-learning For Vision-and-language Cross-lingual ...,https://aclanthology.org/2023.mrl-1.2.pdf,"(2021) proposed UC2, a model using a data augmentation method based on machine translation for cross-lingual cross-modal pre-training. Although ..."
Integrating Language and Vision to Generate Natural ...,https://aclanthology.org/C14-1115.pdf,This paper integrates techniques in natural language processing and computer vision to improve recognition and description of entities and activities in real- ...
Revisiting Visual Grounding,https://aclanthology.org/W19-1804.pdf,Our stud- ies contribute to a more general effort: that of better understanding what machine learning methods that combine language and vision ac- tually learn ...
Towards Multimodal Vision-Language Models Generating ...,https://aclanthology.org/2021.icon-main.27.pdf,Vision-language models combine deep learning techniques from computer vision and natural lan- guage processing to assimilate visual and textual understanding.
Multimodal Learning for Accurate Visual Question Answering,https://aclanthology.org/2023.ranlp-1.20.pdf,"As Computer Vision research moves beyond “buck- eted” identification and toward resolving multi- modal problems, language and visual problems like picture ..."
On Vision Features in Multimodal Machine Translation,https://aclanthology.org/2022.acl-long.438,"We develop a selective attention model to study the patch-level contribution of an image in MMT. On detailed probing tasks, we find that stronger vision models ..."
End-to-End Unsupervised Vision-and-Language Pre- ...,https://aclanthology.org/2022.emnlp-main.742v1.pdf,matter: Elevating the role of image understanding in Visual Question Answering. In Conference on. Computer Vision and Pattern Recognition (CVPR). Zhicheng ...
VIFIDEL: Evaluating the Visual Fidelity of Image Descriptions,https://aclanthology.org/P19-1654.pdf,"ence on Computer Vision (ICCV), pages 873–881,. Venice, Italy. IEEE. Pranava Madhyastha, Josiah Wang, and Lucia Spe- cia. 2018. End-to-end image captioning ..."
Vision Meets Definitions: Unsupervised Visual Word Sense ...,https://aclanthology.org/2023.acl-long.88.pdf,Visual Word Sense Disambiguation (VWSD) is a multimodal task of natural language processing. (NLP) and computer vision that selects the image.
