title,link,snippet
Snap ML: A Hierarchical Framework for Machine Learning,https://papers.nips.cc/paper/7309-snap-ml-a-hierarchical-framework-for-machine-learning.pdf,"We describe a new software framework for fast training of generalized linear models. The framework, named Snap Machine Learning (Snap ML), combines."
Map-Reduce for Machine Learning on Multicore,https://papers.nips.cc/paper/3150-map-reduce-for-machine-learning-on-multicore.pdf,"In this paper, we focuses on developing a general and exact technique for parallel programming of a large class of machine learning algorithms for multicore ..."
A Meta-Analysis of Overfitting in Machine Learning,https://papers.nips.cc/paper/9117-a-meta-analysis-of-overfitting-in-machine-learning,Abstract. We conduct the first large meta-analysis of overfitting due to test set reuse in the machine learning community. Our analysis is based on over one ...
A Large-scale Longitudinal Dataset of Commercial ML API ...,https://papers.nips.cc/paper_files/paper/2022/file/9bcd0bdb2777fe8c729b682f07e993f1-Paper-Datasets_and_Benchmarks.pdf,HAPI can stimulate more research in the growing field of MLaaS. 1 Introduction. Machine learning (ML) prediction APIs have dramatically simplified ML adoption.
A composable machine-learning approach for steady-state ...,https://papers.nips.cc/paper_files/paper/2022/hash/6f697c55beafa9049ab8334400dd1ff5-Abstract-Conference.html,Our unique approach combines key principles of traditional PDE solvers with local-learning and low-dimensional manifold techniques to iteratively simulate PDEs ...
A Large-scale Longitudinal Dataset of Commercial ML API ...,http://papers.nips.cc/paper_files/paper/2022/hash/9bcd0bdb2777fe8c729b682f07e993f1-Abstract-Datasets_and_Benchmarks.html,HAPI is the first large-scale dataset of ML API usages and is a unique resource for studying ML as-a-service (MLaaS). As examples of the types of analyses that ...
How to use ML Prediction APIs more accurately and cheaply,https://papers.nips.cc/paper/2020/file/789ba2ae4d335e8a2ad283a3f7effced-MetaReview.html,This paper addresses an important praactica problem arising in the use of machine learning APIs. Each API has some predictive accuracy and quality score ...
Open Graph Benchmark: Datasets for Machine Learning ...,https://papers.nips.cc/paper_files/paper/2020/hash/fb60d411a5c5b72b2e7d3527cfc84fd0-Abstract.html,"We present the Open Graph Benchmark (OGB), a diverse set of challenging and realistic benchmark datasets to facilitate scalable, robust, and reproducible graph ..."
Efficient and Robust Automated Machine Learning,https://papers.nips.cc/paper/5872-efficient-and-robust-automated-machine-learning.pdf,"Recent work has started to tackle this automated machine learning (AutoML) problem with the help of efficient Bayesian optimization methods. Building on this, ..."
A Large-Scale Climate Model Dataset for Machine Learning,https://papers.nips.cc/paper_files/paper/2023/hash/44a6769fe6c695f8dfb347c649f7c9f0-Abstract-Datasets_and_Benchmarks.html,"However, both the climate science and ML communities have suggested that to address those tasks at scale, we need large, consistent, and ML-ready climate model ..."
