title,link,snippet
Gndan: Graph navigated dual attention network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9768177/,"Zero-shot learning (ZSL) tackles the unseen class recognition problem by transferring semantic knowledge from seen classes to unseen ones. Typically, to guarantee desirable …"
Generative mixup networks for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9696180/,"Zero-shot learning casts light on lacking unseen class data by transferring knowledge from seen classes via a joint semantic space. However, the distributions of samples from seen …"
Generalized zero-shot learning with deep calibration network,https://proceedings.neurips.cc/paper_files/paper/2018/hash/1587965fb4d4b5afe8428a4a024feb0d-Abstract.html,A technical challenge of deep learning is recognizing target classes without seen data. Zero-shot learning leverages semantic representations such as attributes or class prototypes to …
Residual graph convolutional networks for zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3338533.3366552,"Most existing Zero-Shot Learning (ZSL) approaches adopt the semantic space as a bridge to classify unseen categories. However, it is difficult to transfer knowledge from seen …"
Transferable contrastive network for generalized zero-shot learning,http://openaccess.thecvf.com/content_ICCV_2019/html/Jiang_Transferable_Contrastive_Network_for_Generalized_Zero-Shot_Learning_ICCV_2019_paper.html,"Zero-shot learning (ZSL) is a challenging problem that aims to recognize the target categories without seen data, where semantic information is leveraged to transfer …"
Gradient matching generative networks for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2019/html/Sariyildiz_Gradient_Matching_Generative_Networks_for_Zero-Shot_Learning_CVPR_2019_paper.html,"Zero-shot learning (ZSL) is one of the most promising problems where substantial progress can potentially be achieved through unsupervised learning, due to distributional differences …"
Parsnets: A parsimonious orthogonal and low-rank linear networks for zero-shot learning,https://arxiv.org/abs/2312.09709,"This paper provides a novel parsimonious yet efficient design for zero-shot learning (ZSL), dubbed ParsNets, where we are interested in learning a composition of on-device friendly …"
Semantically grounded visual embeddings for zero-shot learning,http://openaccess.thecvf.com/content/CVPR2022W/MULA/html/Nawaz_Semantically_Grounded_Visual_Embeddings_for_Zero-Shot_Learning_CVPRW_2022_paper.html,"Zero-shot learning methods rely on fixed visual and semantic embeddings, extracted from independent vision and language models, both pre-trained for other large-scale tasks. This …"
Vgse: Visually-grounded semantic embeddings for zero-shot learning,http://openaccess.thecvf.com/content/CVPR2022/html/Xu_VGSE_Visually-Grounded_Semantic_Embeddings_for_Zero-Shot_Learning_CVPR_2022_paper.html,"Human-annotated attributes serve as powerful semantic embeddings in zero-shot learning. However, their annotation process is labor-intensive and needs expert supervision. Current …"
Isometric propagation network for generalized zero-shot learning,https://arxiv.org/abs/2102.02038,Zero-shot learning (ZSL) aims to classify images of an unseen class only based on a few attributes describing that class but no access to any training sample. A popular strategy is to …
