title,link,snippet
Field-guide-inspired zero-shot learning,http://openaccess.thecvf.com/content/ICCV2021/html/Mall_Field-Guide-Inspired_Zero-Shot_Learning_ICCV_2021_paper.html,"Modern recognition systems require large amounts of supervision to achieve accuracy. Adapting to new domains requires significant data from experts, which is onerous and can …"
Visual space optimization for zero-shot learning,https://arxiv.org/abs/1907.00330,"Zero-shot learning, which aims to recognize new categories that are not included in the training set, has gained popularity owing to its potential ability in the real-word applications …"
Prototypical priors: From improving classification to zero-shot learning,https://arxiv.org/abs/1512.01192,Recent works on zero-shot learning make use of side information such as visual attributes or natural language semantics to define the relations between output visual classes and then …
Graph knows unknowns: Reformulate zero-shot learning as sample-level graph recognition,https://ojs.aaai.org/index.php/AAAI/article/view/25942,"Zero-shot learning (ZSL) is an extreme case of transfer learning that aims to recognize samples (eg, images) of unseen classes relying on a train-set covering only seen classes …"
Generative zero-shot learning via low-rank embedded semantic dictionary,https://ieeexplore.ieee.org/abstract/document/8451907/,"Zero-shot learning for visual recognition, which approaches identifying unseen categories through a shared visual-semantic function learned on the seen categories and is expected …"
Center-VAE with discriminative and semantic-relevant fine-tuning features for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S092359652200176X,Many approaches in generalized zero-shot learning (GZSL) rely on the visual features extracted by CNN pre-trained on ImageNet and artificially designed semantic features …
Generalized zero-shot learning with multiple graph adaptive generative networks,https://ieeexplore.ieee.org/abstract/document/9335504/,"Generative adversarial networks (GANs) for (generalized) zero-shot learning (ZSL) aim to generate unseen image features when conditioned on unseen class embeddings, each of …"
Transferrable feature and projection learning with class hierarchy for zero-shot learning,https://link.springer.com/article/10.1007/s11263-020-01342-x,Zero-shot learning (ZSL) aims to transfer knowledge from seen classes to unseen ones so that the latter can be recognised without any training samples. This is made possible by …
Benchmarking knowledge-driven zero-shot learning,https://www.sciencedirect.com/science/article/pii/S1570826822000415,External knowledge (aka side information) plays a critical role in zero-shot learning (ZSL) which aims to predict with unseen classes that have never appeared in training data …
Inference guided feature generation for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231220316933,"Generalized zero-shot learning suffers from an extreme data imbalance problem, that is, the training data only come from seen classes while no unseen class data are available …"
