title,link,snippet
Model selection for generalized zero-shot learning,http://openaccess.thecvf.com/content_eccv_2018_workshops/w8/html/Zhang_Model_Selection_for_Generalized_Zero-shot_Learning_ECCVW_2018_paper.html,"In the problem of generalized zero-shot learning, the datapoints from unknown classes are not available during training. The main challenge for generalized zero-shot learning is the …"
GAN-MVAE: A discriminative latent feature generation framework for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0167865522000368,Generalized zero-shot learning (GZSL) is a challenging task that aims to recognize both seen and unseen classes. It is achieved by transferring knowledge from seen classes to …
Free: Feature refinement for generalized zero-shot learning,http://openaccess.thecvf.com/content/ICCV2021/html/Chen_FREE_Feature_Refinement_for_Generalized_Zero-Shot_Learning_ICCV_2021_paper.html,"Generalized zero-shot learning (GZSL) has achieved significant progress, with many efforts dedicated to overcoming the problems of visual-semantic domain gaps and seen-unseen …"
Dual part discovery network for zero-shot learning,https://dl.acm.org/doi/abs/10.1145/3503161.3547889,Zero-Shot Learning (ZSL) aims to recognize unseen classes by transferring knowledge from seen classes. Recent methods focus on learning a common semantic space to align visual …
Augmented semantic feature based generative network for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0893608021001519,"Zero-shot learning (ZSL) aims to recognize objects in images when no training data is available for the object classes. Under generalized zero-shot learning (GZSL) setting, the …"
Creativity inspired zero-shot learning,http://openaccess.thecvf.com/content_ICCV_2019/html/Elhoseiny_Creativity_Inspired_Zero-Shot_Learning_ICCV_2019_paper.html,Zero-shot learning (ZSL) aims at understanding unseen categories with no training examples from class-level descriptions. To improve the discriminative power of zero-shot …
Multi-modal generative adversarial network for zero-shot learning,https://www.sciencedirect.com/science/article/pii/S095070512030215X,"In this paper, we propose a novel approach for Zero-Shot Learning (ZSL), where the test instances are from the novel categories that no visual data are available during training. The …"
Contrastive embedding for generalized zero-shot learning,http://openaccess.thecvf.com/content/CVPR2021/html/Han_Contrastive_Embedding_for_Generalized_Zero-Shot_Learning_CVPR_2021_paper.html,"Generalized zero-shot learning (GZSL) aims to recognize objects from both seen and unseen classes, when only the labeled examples from seen classes are provided. Recent …"
ZeroNAS: Differentiable generative adversarial networks search for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9612044/,"In recent years, remarkable progress in zero-shot learning (ZSL) has been achieved by generative adversarial networks (GAN). To compensate for the lack of training samples in …"
Knowledge distillation classifier generation network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9552442/,"In this article, we present a conceptually simple but effective framework called knowledge distillation classifier generation network (KDCGN) for zero-shot learning (ZSL), where the …"
