title,link,snippet
Zero-shot node classification with graph contrastive embedding network,https://openreview.net/forum?id=8wGXnjRLSy,"This paper studies zero-shot node classification, which aims to predict new classes (ie, unseen classes) of nodes in a graph. This problem is challenging yet promising in a variety …"
Explanatory object part aggregation for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/10287616/,Zero-shot learning (ZSL) aims to recognize objects from unseen classes only based on labeled images from seen classes. Most existing ZSL methods focus on optimizing feature …
Robust bidirectional generative network for generalized zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9102961/,"In this work, we propose a novel generative approach named Robust Bidirectional Generative Network (RBGN) based on Conditional Generative Adversarial Network (CGAN) …"
Graph and autoencoder based feature extraction for zero-shot learning.,https://www.ijcai.org/proceedings/2019/0421.pdf,Zero-shot learning (ZSL) aims to build models to recognize novel visual categories that have no associated labelled training samples. The basic framework is to transfer knowledge from …
Zero-shot learning via structure-aligned generative adversarial network,https://ieeexplore.ieee.org/abstract/document/9449653/,"In this article, we propose a structure-aligned generative adversarial network framework to improve zero-shot learning (ZSL) by mitigating the semantic gap, domain shift, and hubness …"
Near-real feature generative network for generalized zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9428229/,"Due to the powerful feature synthesis ability, Generative Adversarial Networks (GAN) is well adapted to the Generalized Zero-Shot Learning (GZSL) task and has achieved great …"
Zero-shot learning by generating pseudo feature representations,https://arxiv.org/abs/1703.06389,Zero-shot learning (ZSL) is a challenging task aiming at recognizing novel classes without any training instances. In this paper we present a simple but high-performance ZSL …
Visual-semantic aligned bidirectional network for zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9693152/,"Zero-shot learning (ZSL) aims to recognize unknown categories that are unavailable during training. Recently, generative models have shown the potential to address this challenging …"
Similarity preserving feature generating networks for zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0925231220305488,"Traditional zero-shot learning methods usually solve the problem through visual semantic embedding. Recently, considering the power of generating adversarial network, some …"
Episode-based prototype generating network for zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2020/html/Yu_Episode-Based_Prototype_Generating_Network_for_Zero-Shot_Learning_CVPR_2020_paper.html,"We introduce a simple yet effective episode-based training framework for zero-shot learning (ZSL), where the learning system requires to recognize unseen classes given only the …"
