title,link,snippet
Co-representation network for generalized zero-shot learning,http://proceedings.mlr.press/v97/zhang19l.html,"Generalized zero-shot learning is a significant topic but faced with bias problem, which leads to unseen classes being easily misclassified into seen classes. Hence we propose a …"
Canzsl: Cycle-consistent adversarial networks for zero-shot learning from natural language,http://openaccess.thecvf.com/content_WACV_2020/html/Chen_CANZSL_Cycle-Consistent_Adversarial_Networks_for_Zero-Shot_Learning_from_Natural_Language_WACV_2020_paper.html,Existing methods using generative adversarial approaches for Zero-Shot Learning (ZSL) aim to generate realistic visual features from class semantics by a single generative …
Task aligned generative meta-learning for zero-shot learning,https://ojs.aaai.org/index.php/AAAI/article/view/17057,Zero-shot learning (ZSL) refers to the problem of learning to classify instances from novel classes (unseen) that are absent in the training set (seen). Most ZSL methods infer the …
Region graph embedding network for zero-shot learning,https://link.springer.com/chapter/10.1007/978-3-030-58548-8_33,"Most of the existing Zero-Shot Learning (ZSL) approaches learn direct embeddings from global features or image parts (regions) to the semantic space, which, however, fail to …"
"Rethink, revisit, revise: A spiral reinforced self-revised network for zero-shot learning",https://ieeexplore.ieee.org/abstract/document/9783466/,"Current approaches to zero-shot learning (ZSL) struggle to learn generalizable semantic knowledge capable of capturing complex correlations. Inspired by Spiral Curriculum, which …"
Self-supervised domain-aware generative network for generalized zero-shot learning,http://openaccess.thecvf.com/content_CVPR_2020/html/Wu_Self-Supervised_Domain-Aware_Generative_Network_for_Generalized_Zero-Shot_Learning_CVPR_2020_paper.html,Abstract Generalized Zero-Shot Learning (GZSL) aims at recognizing both seen and unseen classes by constructing correspondence between visual and semantic embedding …
Using sentences as semantic representations in large scale zero-shot learning,https://link.springer.com/chapter/10.1007/978-3-030-66415-2_42,"Zero-shot learning (ZSL) aims to recognize instances of unseen classes, for which no visual instance is available during training, by learning multimodal relations between samples from …"
Probabilistic and-or attribute grouping for zero-shot learning,https://arxiv.org/abs/1806.02664,"In zero-shot learning (ZSL), a classifier is trained to recognize visual classes without any image samples. Instead, it is given semantic information about the class, like a textual …"
Attributes learning network for generalized zero-shot learning,https://www.sciencedirect.com/science/article/pii/S0893608022000594,"In the absence of unseen training data, zero-shot learning algorithms utilize the semantic knowledge shared by the seen and unseen classes to establish the connection between the …"
Hyperbolic visual embedding learning for zero-shot recognition,http://openaccess.thecvf.com/content_CVPR_2020/html/Liu_Hyperbolic_Visual_Embedding_Learning_for_Zero-Shot_Recognition_CVPR_2020_paper.html,"This paper proposes a Hyperbolic Visual Embedding Learning Network for zero-shot recognition. The network learns image embeddings in hyperbolic space, which is capable of …"
