title,link,snippet
A generative adversarial approach for zero-shot learning from noisy texts,http://openaccess.thecvf.com/content_cvpr_2018/html/Zhu_A_Generative_Adversarial_CVPR_2018_paper.html,Most existing zero-shot learning methods consider the problem as a visual semantic embedding one. Given the demonstrated capability of Generative Adversarial Networks …
Zero-shot learning via class-conditioned deep generative models,https://ojs.aaai.org/index.php/AAAI/article/view/11600,"We present a deep generative model for Zero-Shot Learning (ZSL). Unlike most existing methods for this problem, that represent each class as a point (via a semantic embedding) …"
Attribute prototype network for zero-shot learning,https://proceedings.neurips.cc/paper/2020/hash/fa2431bf9d65058fe34e9713e32d60e6-Abstract.html,"From the beginning of zero-shot learning research, visual attributes have been shown to play an important role. In order to better transfer attribute-based knowledge from known to …"
Knowledge-aware zero-shot learning: Survey and perspective,https://arxiv.org/abs/2103.00070,Zero-shot learning (ZSL) which aims at predicting classes that have never appeared during the training using external knowledge (aka side information) has been widely investigated …
VMAN: A virtual mainstay alignment network for transductive zero-shot learning,https://ieeexplore.ieee.org/abstract/document/9399836/,Transductive zero-shot learning (TZSL) extends conventional ZSL by leveraging (unlabeled) unseen images for model training. A typical method for ZSL involves learning embedding …
Attribute-aware representation rectification for generalized zero-shot learning,https://arxiv.org/abs/2311.14750,"Generalized Zero-shot Learning (GZSL) has yielded remarkable performance by designing a series of unbiased visual-semantics mappings, wherein, the precision relies heavily on the …"
Adaptive Relation-Aware Network for zero-shot classification,https://www.sciencedirect.com/science/article/pii/S0893608024001515,Supervised learning-based image classification in computer vision relies on visual samples containing a large amount of labeled information. Considering that it is labor-intensive to …
Low-rank embedded ensemble semantic dictionary for zero-shot learning,http://openaccess.thecvf.com/content_cvpr_2017/html/Ding_Low-Rank_Embedded_Ensemble_CVPR_2017_paper.html,"Zero-shot learning for visual recognition has received much interest in the most recent years. However, the semantic gap across visual features and their underlying semantics is still the …"
Exploring hierarchical graph representation for large-scale zero-shot image classification,https://link.springer.com/chapter/10.1007/978-3-031-20044-1_7,"The main question we address in this paper is how to scale up visual recognition of unseen classes, also known as zero-shot learning, to tens of thousands of categories as in the …"
Deep semantic structural constraints for zero-shot learning,https://ojs.aaai.org/index.php/AAAI/article/view/12244,"Zero-shot learning aims to classify unseen image categories by learning a visual-semantic embedding space. In most cases, the traditional methods adopt a separated two-step …"
